Unnamed: 0,label,prompt_prompt1_en_short_temp_0_gpt3.5-0301,response_prompt1_en_short_temp_0_gpt3.5-0301,isMatch_prompt1_en_short_temp_0_gpt3.5-0301
11,True,"Are the following two products the same?
Product 1: Title: new lowrance 000 10236 001 elite tm 5 dsi fishfinder base lra10236001
Brand: lowrance
Description: lowrance 000 10236 001 elite tm 5 dsi fishfinder base lowrance downscan imaging tm displays clear photos of views of underwater underneath the boat clearly see boundary layer between lower cooler water amp upper warmer water where fish are located di
Product 2: Title: lowrance elite 5 dsi fishfinder base
Brand: lowrance
Description: lowrance elite 5 dsi fishfinder base detailed photo like viewing easy to use manual fine tuning option 5 256 color tft display 480 x 480 pixels 500w rms power trackback feature built in precision gps antenna

Answer with 'True' or 'False'.",False.,False
12,True,"Are the following two products the same?
Product 1: Title: lowrance 000 10236 001 elite tm 5 dsi fishfinder base
Brand: lowrance
Description: lowrance 000 10236 001 elite tm 5 dsi fishfinder base lowrance downscan imaging tm displays clear photos of views of underwater underneath the boat clearly see boundary layer between lower cooler water amp upper warmer water where fish are located di
Product 2: Title: lowrance elite 5 dsi fishfinder base
Brand: lowrance
Description: lowrance elite 5 dsi fishfinder base detailed photo like viewing easy to use manual fine tuning option 5 256 color tft display 480 x 480 pixels 500w rms power trackback feature built in precision gps antenna

Answer with 'True' or 'False'.",True.,True
13,True,"Are the following two products the same?
Product 1: Title: lowrance 000 10236 001 elite 5 dsi downscan imaging chartplotter fishfinder with 5 inch color lcd and basemap
Brand: lowrance
Description: with lowrance s standalone elite 5 dsi imaging fishfinder with chartplotter you re equipped with a technologically new way to look at finding and fishing hot spots clearly precisely and affordably enjoy better fishing with innovative down looking son
Product 2: Title: lowrance elite 5 dsi fishfinder base
Brand: lowrance
Description: lowrance elite 5 dsi fishfinder base detailed photo like viewing easy to use manual fine tuning option 5 256 color tft display 480 x 480 pixels 500w rms power trackback feature built in precision gps antenna

Answer with 'True' or 'False'.",True,True
14,True,"Are the following two products the same?
Product 1: Title: roocase executive leather portfolio black case cover with landscape portrait view stand for samsung galaxy tab tablet p1000 wi fi 3g
Brand: roocase
Description: limited lifetime replacement warranty like a kangaroo safely carries her young in her pouch roocase offers protective solutions for your precious electronic possessions roocase designers work with your needs in mind ensuring that cases have not only 
Product 2: Title: roocase executive leather portfolio case for samsung galaxy tab p1000
Brand: roocase
Description: this roocase leather cover offers optimal protection for your galaxy tab lightweight for taking galaxy tab wherever you go product material genuine leather product weight 0 40 lbs laptop compartment dimensions 7 5 dirt case weighs in at only 7 ounces

Answer with 'True' or 'False'.",False.,False
15,True,"Are the following two products the same?
Product 1: Title: roocase executive leather portfolio red case cover with stand for samsung galaxy tab tablet p1000 wi fi 3g
Brand: roocase
Description: limited lifetime replacement warranty like a kangaroo safely carries her young in her pouch roocase offers protective solutions for your precious electronic possessions roocase designers work with your needs in mind ensuring that cases have not only 
Product 2: Title: roocase executive leather portfolio case for samsung galaxy tab p1000
Brand: roocase
Description: this roocase leather cover offers optimal protection for your galaxy tab lightweight for taking galaxy tab wherever you go product material genuine leather product weight 0 40 lbs laptop compartment dimensions 7 5 dirt case weighs in at only 7 ounces

Answer with 'True' or 'False'.",False.,False
16,True,"Are the following two products the same?
Product 1: Title: roocase executive leather portfolio magenta case cover with stand for samsung galaxy tab tablet p1000 wi fi 3g
Brand: roocase
Description: limited lifetime replacement warranty like a kangaroo safely carries her young in her pouch roocase offers protective solutions for your precious electronic possessions roocase designers work with your needs in mind ensuring that cases have not only 
Product 2: Title: roocase executive leather portfolio case for samsung galaxy tab p1000
Brand: roocase
Description: this roocase leather cover offers optimal protection for your galaxy tab lightweight for taking galaxy tab wherever you go product material genuine leather product weight 0 40 lbs laptop compartment dimensions 7 5 dirt case weighs in at only 7 ounces

Answer with 'True' or 'False'.",False.,False
17,True,"Are the following two products the same?
Product 1: Title: new lorex lw1002w 2 wireless camera system obs systems home security
Brand: lorex
Description: connects easily to tv dvr or vcr signal will not interfere with household wi fi network compact design for discreet placement up to 300 ft outdoor amp 100 ft indoor wireless range 10 ft night vision built in microphone for listen in audio weather res
Product 2: Title: lorex lw1002 live wireless security cameras
Brand: lorex
Description: lorex lw1002 live wireless security cameras connects in minutes to a tv vcr or dvd recorder compact camera design for discreet monitoring install cameras indoors or outdoors signal will not interfere with your wi fi network night vision for low light

Answer with 'True' or 'False'.",True,True
18,True,"Are the following two products the same?
Product 1: Title: lorex live lw1002w cctv camera outdoor weatherproof color day night 360 tvl audio pack of 2
Brand: lorex
Description: connects in minutes to a tv vcr or dvd recordercompact camera design for discreet monitoringinstall cameras indoors or outdoorssignal will not interfere with your wi fi networknight vision for low light viewing up to 10 feetautomatic or manual camera
Product 2: Title: lorex lw1002 live wireless security cameras
Brand: lorex
Description: lorex lw1002 live wireless security cameras connects in minutes to a tv vcr or dvd recorder compact camera design for discreet monitoring install cameras indoors or outdoors signal will not interfere with your wi fi network night vision for low light

Answer with 'True' or 'False'.",True,True
19,True,"Are the following two products the same?
Product 1: Title: xantech 283dmw designer blink emitter single mini wire
Brand: xantech
Description: visible low output mini emitter deep purple lexan shell clear adhesive film included on emitter housing for attachment to ir window of controlled component two 5 pieces of double sided clear adhesive tape included for replacement purposes lead is ter
Product 2: Title: xantech 283dmw designer blink emitter single mini wire
Brand: xantech
Description: xantech designer blink emitter single mini wire clear adhesive film 2 x 0 5 pieces of double sided clear adhesive tape 3 5mm mono mini plug 6 mini wire deep purple lexan shell

Answer with 'True' or 'False'.",True,True
20,True,"Are the following two products the same?
Product 1: Title: xantech 283dmw designer blink emitter single mini wire
Brand: xantech
Description: visible low output mini emitter deep purple lexan shell clear adhesive film included on emitter housing for attachment to ir window of controlled component two 5 pieces of double sided clear adhesive tape included for replacement purposes lead is ter
Product 2: Title: xantech 283dmw designer blink emitter single mini wire
Brand: xantech
Description: xantech designer blink emitter single mini wire clear adhesive film 2 x 0 5 pieces of double sided clear adhesive tape 3 5mm mono mini plug 6 mini wire deep purple lexan shell

Answer with 'True' or 'False'.",True,True
21,True,"Are the following two products the same?
Product 1: Title: xantech 283dmw designer blink emitter single mini wire
Brand: xantech
Description: visible low output mini emitterdeep purple lexan shellclear adhesive film included on emitter housing for attachment to ir window of controlled componenttwo 5 pieces of double sided clear adhesive tape included for replacement purposeslead is termina
Product 2: Title: xantech 283dmw designer blink emitter single mini wire
Brand: xantech
Description: xantech designer blink emitter single mini wire clear adhesive film 2 x 0 5 pieces of double sided clear adhesive tape 3 5mm mono mini plug 6 mini wire deep purple lexan shell

Answer with 'True' or 'False'.",True,True
22,True,"Are the following two products the same?
Product 1: Title: xerox 108r00579 108r00579 transfer roller
Brand: xerox
Description: get consistent performance high quality output reliability saves time and increases productivity supplies are easy to install and maintain device types n a oem compatible oem page yield 100000 supply type transfer roller 
Product 2: Title: xerox 108r00579 transfer roller
Brand: xerox
Description: print technology laser page yield 100 000 pages compatible with the xerox phaser 7500

Answer with 'True' or 'False'.",True,True
23,True,"Are the following two products the same?
Product 1: Title: xerox 108r00579 transfer roller for xerox phaser 7750 laser printer
Brand: xerox
Description: transfer roller for xerox phaser 7750 laser printer
Product 2: Title: xerox 108r00579 transfer roller
Brand: xerox
Description: print technology laser page yield 100 000 pages compatible with the xerox phaser 7500

Answer with 'True' or 'False'.",True,True
24,True,"Are the following two products the same?
Product 1: Title: new xerox 108r00579 108r00579 transfer roller xer108r00579
Brand: xerox
Description: get consistent performance high quality output reliability saves time and increases productivity supplies are easy to install and maintain device types n a oem compatible oem page yield 100000 supply type transfer roller color printer laser printer p
Product 2: Title: xerox 108r00579 transfer roller
Brand: xerox
Description: print technology laser page yield 100 000 pages compatible with the xerox phaser 7500

Answer with 'True' or 'False'.",True,True
25,True,"Are the following two products the same?
Product 1: Title: sharp el 1192bl desktop 2 color printing calculator
Brand: sharp
Description: the imposing el 1192bl calculator is all business from the no nonsense layout and extra keys designed to meet the needs of businesses to the integrated printer and large clear display this is one calculator that doesn t mess around it feels strange c
Product 2: Title: sharp el1192bl printing calculator
Brand: sharp
Description: printing calculator 12 character lcd 31ps printing speed 4 key memory functions include mark up item counter rounding double zero and adding mode

Answer with 'True' or 'False'.",True,True
26,True,"Are the following two products the same?
Product 1: Title: new sharp el1192bl el1192bl two color printing calculator 12 digit lcd black red shrel1192bl
Brand: sharp
Description: pc touch keyboard memory plus memory minus recall and clear memory keys large 18 7 mm digit size for easy reading of display prints positive numbers in black negative numbers in red on standard paper roll power source s ac display notation numeric nu
Product 2: Title: sharp el1192bl printing calculator
Brand: sharp
Description: printing calculator 12 character lcd 31ps printing speed 4 key memory functions include mark up item counter rounding double zero and adding mode

Answer with 'True' or 'False'.",True,True
27,True,"Are the following two products the same?
Product 1: Title: sharp el1192bl two color printing calculator calculator prting desktop pack of2
Brand: sharp
Description: pc touch keyboard memory plus memory minus recall and clear memory keys large 18 7 mm digit size for easy reading of display pc touch keyboard memory plus memory minus recall and clear memory keys large 18 7 mm digit size for easy reading of display 
Product 2: Title: sharp el1192bl printing calculator
Brand: sharp
Description: printing calculator 12 character lcd 31ps printing speed 4 key memory functions include mark up item counter rounding double zero and adding mode

Answer with 'True' or 'False'.",False.,False
28,True,"Are the following two products the same?
Product 1: Title: avery 5029 clear self adhesive filing labels 3 7 16 x 2 3 30 sheet 450 pack
Brand: avery
Description: labels blend with file folder s background color to create a custom printed look guaranteed printer performance in hp canon epson and other popular printers 
Product 2: Title: avery self adhesive filing labels 1 3 cut 3 7 16 x 2 3 clear 450 pack
Brand: avery
Description: avery self adhesive filing labels clear 1 3 cut filing labels create as custom look clear labels virtually disappear on tabs labels come in a pack of 450 labels are 3 7 16

Answer with 'True' or 'False'.",True,True
29,True,"Are the following two products the same?
Product 1: Title: avery 5029 self adhesive filing labels 1 3 cut 2 3 x 3 7 16 clear 450 pack
Brand: avery
Description: clear labels virtually disappear on tabs for easy color coding and a custom professional look permanent adhesive is guaranteed to stick and stay easy to use with free avery templates and software see product package for details laser and inkjet compa
Product 2: Title: avery self adhesive filing labels 1 3 cut 3 7 16 x 2 3 clear 450 pack
Brand: avery
Description: avery self adhesive filing labels clear 1 3 cut filing labels create as custom look clear labels virtually disappear on tabs labels come in a pack of 450 labels are 3 7 16

Answer with 'True' or 'False'.",False.,False
30,True,"Are the following two products the same?
Product 1: Title: new avery 5029 self adhesive filing labels 1 3 cut 2 3 x 3 7 16 clear 450 pack ave5029
Brand: avery
Description: clear labels virtually disappear on tabs for easy color coding and a custom professional look permanent adhesive is guaranteed to stick and stay easy to use with free avery templates and software laser and inkjet compatible label size text 2 3 x 3 7 
Product 2: Title: avery self adhesive filing labels 1 3 cut 3 7 16 x 2 3 clear 450 pack
Brand: avery
Description: avery self adhesive filing labels clear 1 3 cut filing labels create as custom look clear labels virtually disappear on tabs labels come in a pack of 450 labels are 3 7 16

Answer with 'True' or 'False'.",False.,False
31,True,"Are the following two products the same?
Product 1: Title: epson amer matte presentation paper 27 lbs matte 8 1 2 x 11 100 sheets pack
Brand: epson
Description: epson presentation paper matte is a smooth non glare instant drying paper for scrapbooks newsletters and graphical presentations mil thickness 4 9 weight 27lb iso brightness 90 opacity 90 
Product 2: Title: epson s041062 presentation paper
Brand: epson
Description: bright white matte presentation paper for use with inkjet printers ideal for newsletters proposals and flyers with photos

Answer with 'True' or 'False'.",False.,False
32,True,"Are the following two products the same?
Product 1: Title: epson s041062 matte presentation paper 27 lbs matte 8 1 2 x 11 100 sheets pack
Brand: epson
Description: smooth finish means you get colorful graphic images and razor sharp black text bright white coated paper is ideal for newsletters flyers reports or special presentations containing photos or graphics guaranteed to work with all inkjet printers size 8
Product 2: Title: epson s041062 presentation paper
Brand: epson
Description: bright white matte presentation paper for use with inkjet printers ideal for newsletters proposals and flyers with photos

Answer with 'True' or 'False'.",True,True
33,True,"Are the following two products the same?
Product 1: Title: epson s041062 presentation inkjet letter paper 100 sheets
Brand: epson
Description: its smooth matte finish means you get colorful graphic images and razor sharp black text bright white coated paper is ideal for newsletters flyers reports or special presentations containing photos or graphics guaranteed to work with all inkjet print
Product 2: Title: epson s041062 presentation paper
Brand: epson
Description: bright white matte presentation paper for use with inkjet printers ideal for newsletters proposals and flyers with photos

Answer with 'True' or 'False'.",True,True
34,True,"Are the following two products the same?
Product 1: Title: ape case digital camera case with fold out wallet ac252
Brand: norazza
Description: ape case digital camera case with fold out wallet ac252 leave your purse or wallet at home with norazza s digital camera case that folds out to a multi pocket wallet with plenty of room for credit cards passport digital media cards money travelers ch
Product 2: Title: can be clipped onto a stroller belt or bicycle or simply hung around your neck or shoulder with the straps included in the package
Brand: ape case
Description:  key features benefits compact design

Answer with 'True' or 'False'.",False.,False
35,True,"Are the following two products the same?
Product 1: Title: ape case ac252 tri fold travel wallet digital camera case
Brand: ape case
Description: folds out to a multi pocket wallet with plenty of room for credit cards passport digital media cards amp more compact design with 13 pockets amp compartments includes removable deluxe comfort shoulder strap amp belt strap black exterior amp yellow in
Product 2: Title: can be clipped onto a stroller belt or bicycle or simply hung around your neck or shoulder with the straps included in the package
Brand: ape case
Description:  key features benefits compact design

Answer with 'True' or 'False'.",False.,False
36,True,"Are the following two products the same?
Product 1: Title: ape case ac252 tri fold travel wallet digital camera case camcorder bags camera bags
Brand: ape case
Description: ape case ac252 tri fold travel wallet amp digital camera case folds out to a multi pocket wallet with plenty of room for credit cards passport digital media cards amp more compact design with 13 pockets amp compartments includes removable deluxe comf
Product 2: Title: can be clipped onto a stroller belt or bicycle or simply hung around your neck or shoulder with the straps included in the package
Brand: ape case
Description:  key features benefits compact design

Answer with 'True' or 'False'.","False. The two products have different titles, descriptions, and features.",False
37,True,"Are the following two products the same?
Product 1: Title: hp scanjet 5590 digital flatbed scanner
Brand: hp
Description: get fast preview scans one touch operation convenient copy center buttons and hp photo amp imaging software for graphics and digital photography with this automatic document feeding duplexing scanner that holds up to 50 pages plus the innovative desi
Product 2: Title: hp scanjet 5590 digital flatbed scanner
Brand: hp
Description: technical information image sensor ccd charge coupled device scan resolution 2400 dpi optical 2400 x 2400 dpi hardware 999999 dpi enhanced bit depth 48 bit color 8 bit grayscale media types plain paper s photo s envelope s label s card s iron on tran

Answer with 'True' or 'False'.",True,True
38,True,"Are the following two products the same?
Product 1: Title: hp scanjet 5590 digital flatbed scanner flatbed scanner duplex legal 2400 dpi x 2400 dpi adf 50 sheets hi speed usb
Brand: hp
Description: the hp scanjet 5590 digital flatbed usb scanner is designed for home office small office users who want to digitize multi page paper documents keyfeaturesinclude fast automatic processing of two sided documents and the versatility to scan transparent
Product 2: Title: hp scanjet 5590 digital flatbed scanner
Brand: hp
Description: technical information image sensor ccd charge coupled device scan resolution 2400 dpi optical 2400 x 2400 dpi hardware 999999 dpi enhanced bit depth 48 bit color 8 bit grayscale media types plain paper s photo s envelope s label s card s iron on tran

Answer with 'True' or 'False'.",True,True
39,True,"Are the following two products the same?
Product 1: Title: hp scanjet 5590 digital flatbed scanner flatbed scanner letter 2400 dpi x 2400 dpi adf 50 sheets hi speed usb
Brand: hp
Description: automatic document feeder allows unattended two sided multi page scanning one touch buttons let you scan copy print e mail and more hi speed usb 2 0 connection plug and play operation preview scans within seven seconds for maximum productivity conven
Product 2: Title: hp scanjet 5590 digital flatbed scanner
Brand: hp
Description: technical information image sensor ccd charge coupled device scan resolution 2400 dpi optical 2400 x 2400 dpi hardware 999999 dpi enhanced bit depth 48 bit color 8 bit grayscale media types plain paper s photo s envelope s label s card s iron on tran

Answer with 'True' or 'False'.",True,True
40,False,"Are the following two products the same?
Product 1: Title: 25 component video cable
Brand: cables to go
Description: 25ft velocity ponent video interconnect 
Product 2: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 

Answer with 'True' or 'False'.",False.,False
41,False,"Are the following two products the same?
Product 1: Title: cables to go 02300 ieee 1284 db25 male to centronics 36 male parallel printer cable 6 feet 1 82 meters beige
Brand: cables to go
Description: to enjoy the increased data rate and two way communication of your ieee 1284 compliant printer or scanner you need a cable with high quality connectors and a specialized wire type our cable exploits this technology to enable high speed bi directional
Product 2: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 

Answer with 'True' or 'False'.",False.,False
42,False,"Are the following two products the same?
Product 1: Title: cables to go 30504 usb 2 0 to ide or serial ata drive adapter black
Brand: cables to go
Description: externally connect one 2 5in 3 5in or 5 25in ide atapi or sata drive to your computer via usb 2 0
Product 2: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 

Answer with 'True' or 'False'.",False.,False
43,False,"Are the following two products the same?
Product 1: Title: cables to go 26886 usb to db9 male serial adapter blue 0 45 meters 1 5 feet
Brand: cables to go
Description: cables to go port authority usb to db9 serial adapter 26886 cable adapters
Product 2: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 

Answer with 'True' or 'False'.",False.,False
44,False,"Are the following two products the same?
Product 1: Title: cables to go 08075 db9 m f null modem adapter
Brand: cables to go
Description: cables to go null modem adapter 08075 cable adapters
Product 2: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 

Answer with 'True' or 'False'.",False.,False
45,False,"Are the following two products the same?
Product 1: Title: cables to go audio unlimited 900mhz wireless stereo headphones spk 9100
Brand: cables to go
Description: listen to music just about anywhere without the hassle of cumbersome wires the powerful transmitter uses 900 mhz technology to send music through walls and floors to the wireless headphone this comfortable high quality lightweight headphone is the pe
Product 2: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 

Answer with 'True' or 'False'.",False.,False
46,False,"Are the following two products the same?
Product 1: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 
Product 2: Title: cables to go 28012 10ft pro series hd15 m m svga monitor cable with ferrites black
Brand: cables to go
Description: cables to go pro series uxga monitor coaxial cable 28012 cables

Answer with 'True' or 'False'.",False.,False
47,False,"Are the following two products the same?
Product 1: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 
Product 2: Title: cables to go 40855 rapidrun digital hdmi active wall plate
Brand: cables to go
Description: the rapidrun digital connector is designed and crafted for ultimate performance every detail works to make the system virtually transparent to the delicate digital signal like rapidrun rapidrun digital is centered on the runner cable installations ar

Answer with 'True' or 'False'.",False. The two products are not the same.,False
48,False,"Are the following two products the same?
Product 1: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 
Product 2: Title: cables to go 40424 stereo f m rca y cable 6 inches black
Brand: cables to go
Description: converts a 3 5mm stereo jack to rca stereo plugs

Answer with 'True' or 'False'.",False.,False
49,False,"Are the following two products the same?
Product 1: Title: cables to go 03131 6ft premium universal power cord
Brand: cables to go
Description: plug connector type 1 x iec 320 c13 1 x nema 5 15p compatible with computers monitors scanners printers and devices that use a 3 pin shroud power connector cord length 6 ft 
Product 2: Title: cables to go 24358 multi pack 7ft cat5e 350mhz assembled cable 25 pack blue
Brand: cables to go
Description: today s advanced fast ethernet and gigabit computer networks require enhanced category 5 high speed cabling to distrubute data voice and video cables to go s enhanced cat5 350mhz patch cables will keep you ahead of the game these cables will handle b

Answer with 'True' or 'False'.",False. The two products are different.,False
50,False,"Are the following two products the same?
Product 1: Title: wrk sa series stand alone rack less rear door 27 32 d rack enclosure depth 27 1 2 d
Brand: middle atlantic
Description: wrk 44sa 27lrd rack enclosure depth 27 1 2 d select a wrk sa when mounting equipment that demands space for substantial cable bundles solid design and stylish beveled corners are ideal when aesthetics are an issue structural features fully welded con
Product 2: Title: middle atlantic 12 master slave jumper for mpr series modules sold in packs of 6
Brand: middle atlantic
Description: df1784allows m series slave modules to be switched remotely by an rlm series master module features 12 jumper length sold in packs of 6

Answer with 'True' or 'False'.",False.,False
51,False,"Are the following two products the same?
Product 1: Title: wrk sa series stand alone rack less rear door 27 32 d rack enclosure depth 27 1 2 d
Brand: middle atlantic
Description: wrk 44sa 27lrd rack enclosure depth 27 1 2 d select a wrk sa when mounting equipment that demands space for substantial cable bundles solid design and stylish beveled corners are ideal when aesthetics are an issue structural features fully welded con
Product 2: Title: middle atlantic long 20 outlet single 20 amp circuit thin power strip with cord
Brand: middle atlantic
Description: df2014pdt series thin power strips take up minimal space inside a rack and feature a unique design that allows for isolated ground configurability dual circuit models can be configured to operate as a single circuit and all models are factory assembl

Answer with 'True' or 'False'.",False. The two products are different.,False
52,False,"Are the following two products the same?
Product 1: Title: philips magnavox pm435s 4 device universal remote control
Brand: philips
Description: sync up your tv vcr dvd and satellite system with the philips pm435s remote control among the functions provided by the remote are subtitle repeat and chapter scan for your dvd player a picture in picture pip option with a toggle key for your tv and 
Product 2: Title: comprehensive f plug to bnc plug set of 25
Brand: comprehensive
Description: ch1230these f plug to bnc plug video cables include the comprehensive cable lifetime warranty comprehensive offers a lifetime warranty on all products

Answer with 'True' or 'False'.",False.,False
